Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",8,25,22,3,3,0,0,0,2,1,2,0,7,0,1,0,0,1,0,0.136363636,2136
2023,"Tommy Pham","NYM",2,3,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.5,2967
2023,"Anthony Rizzo","NYY",2,7,6,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,3473
2023,"Joey Votto","CIN",1,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,4314
2023,"Jason Heyward","LAD",3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940
2023,"Josh Donaldson","NYY",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5038
2023,"Brandon Crawford","SFG",1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5343
2023,"Jose Altuve","HOU",76,268,235,75,51,10,1,13,47,44,30,0,52,2,1,0,7,7,0,0.319148936,5417
2023,"Avisail Garcia","MIA",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760
2023,"Wilmer Flores","SFG",4,4,4,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5,5827
2023,"Jean Segura","MIA",2,8,8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.125,5933
2023,"Eduardo Escobar","2 Tms",2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6153
2023,"Miguel Rojas","LAD",2,3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,7802
2023,"Charlie Blackmon","COL",70,247,219,59,36,13,4,6,35,30,19,0,38,6,3,0,2,3,0,0.269406392,7859
2023,"Donovan Solano","MIN",14,35,30,10,10,0,0,0,3,0,3,0,8,2,0,0,1,0,0,0.333333333,8623
2023,"Elvis Andrus","CHW",17,54,54,17,10,6,0,1,4,9,0,0,13,0,0,0,3,1,0,0.314814814,8709
2023,"AJ Pollock","SEA",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9256
2023,"Evan Longoria","ARI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9368
2023,"Christian Vazquez","MIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9774
2023,"Andrew McCutchen","PIT",19,66,56,16,14,1,0,1,6,2,10,0,15,0,0,0,1,1,1,0.285714285,9847
2023,"DJ LeMahieu","NYY",57,208,182,42,27,7,2,6,25,15,24,0,45,2,0,0,6,2,1,0.23076923,9874
2023,"Darin Ruf","MIL",2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9929
2023,"Trayce Thompson","LAD",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9952
2023,"Randal Grichuk","2 Tms",8,22,22,5,1,3,0,1,5,3,0,0,7,0,0,0,0,0,0,0.227272727,10243
2023,"Rafael Ortega","NYM",4,13,11,1,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0.09090909,10323
